,project_name,bid_classification,bid_type,Category
40782,Supply & Delivery Of Thirty-Five (35) New 1/2 Ton 4X4 Pickup Trucks,Goods,Request for Quotation(RFQ),
40795,Irrigation System Maintenance Services,Services,Request for Quotation(RFQ),
40798,Roadside Ditch Cleaning Services For Lockhart Road,Services,Request for Quotation(RFQ),
40803,Portable Toilet Services,Services,Request for Quotation(RFQ),
40804,Consulting Services For The City Of Barrie North Barrier Wall Monitoring Program,Services,Request for Proposal(RFP),
40809,Fireworks Display,Services,Request for Proposal(RFP),
40812,"Rfq - Hazardous Waste - Transportation, Disposal And Recycling Services",Services,Request for Quotation(RFQ),
40815,Supply And Delivery Of Packaged Fertilizer And Turf Products,Goods,Request for Quotation(RFQ),
40820,"Supply, Delivery And Installation Of Playground Equipment For Multiple Locations",Construction,Request for Quotation(RFQ),
40824,Concession & Vending Services,Services,Request for Quotation(RFQ),
40826,Janitorial Services For Four (4) Facilities Owned By The City Of Barrie,Services,Request for Quotation(RFQ),
40834,"Tree Removal, Pruning, And Stump Grinding",Services,Request for Quotation(RFQ),
40842,Street And Park Tree Planting Services,Services,Request for Quotation(RFQ),
40847,End User Computing Devices,Goods,Request for Proposal(RFP),
40848,Installation Of Solar Speed Boards,Services,Request for Quotation(RFQ),
40854,Asphalt Resurfacing Program,Construction,Request for Tender(RFT),
40859,Comprehensive Transit Technology Review,Services,Request for Proposal(RFP),
40864,Transit On Demand Software Platform,Services,Request for Proposal(RFP),
40869,Online Community Engagement Platform,Services,Request for Proposal(RFP),
40872,License Plate Recognition Technology Services,Services,Request for Proposal(RFP),
40875,Holly Community Centre Energy Management Control System (Emcs) Upgrade,Construction,Request for Quotation(RFQ),
40882,Risk Consulting Services For Infrastructure Projects,Services,Request for Proposal(RFP),
40886,Roadway Snow Clearing Services - Four (4) Units Tandem Axle With Two-Way Plow And Wing Including Operator,Services,Request for Tender(RFT),
40891,"Standby Generator Preventative Maintenance, Testing And Reporting Services",Services,Request for Quotation(RFQ),
40895,"Supply, Delivery And Printing Services Of Property Tax Bills",Services,Request for Quotation(RFQ),
40899,Supply And Delivery Of Four (4) New 2019 Or 2020 Pickup Trucks,Goods,Request for Quotation(RFQ),
40909,Supply And Delivery Of Outdoor Barbecues,Goods,Request for Quotation(RFQ),
40911,Advertising Rights On City Transit Buses,Services,Request for Quotation(RFQ),
40914,Rain Barrel,Services,Request for Proposal(RFP),
40916,Supply & Delivery Of One (1) New 2019 Or 2020 Full Size All-Wheel Drive Black Suv,Goods,Request for Quotation(RFQ),
40919,Locksmith And Keyless Entry Services,Services,Request for Quotation(RFQ),
40922,Hvac Preventative Maintenance And Demand Service,Services,Request for Quotation(RFQ),
40929,Dunlop Street West Reconstruction Eccles Street To Toronto Street,Construction,Request for Tender(RFT),
40937,Campus Moving Services,Services,Request for Quotation(RFQ),
40939,Supply & Delivery Of New 2020 Tandem Axle Roll Off Salter/Sander Plow Trucks,Goods,Request for Quotation(RFQ),
40942,Supply And Delivery Of Twelve (12) New 2019 Or 2020 Light Duty Vehicles,Goods,Request for Quotation(RFQ),
40950,Whistleblower Reporting Service,Services,Request for Proposal(RFP),
40954,Community Energy And Greenhouse Gas Reduction Plan,Services,Request for Proposal(RFP),
40964,Consulting Services For Heritage Park Design,Services,Request for Proposal(RFP),
40971,Engineering Consulting Services For Bunkers Creek Culvert Replacements And Watercourse Improvements - Innisfil To Lakeshore,Services,Request for Proposal(RFP),
40979,"Overhead Door Preventative Maintenance,  Regular Demand & Emergency Services",Services,Request for Quotation(RFQ),
40982,Innovative Service Model For Clearing Of Residential Windrows For Seniors And Persons With Disabilities,Services,Request for Proposal(RFP),
40985,Pest Control Services For Various City Of Barrie Locations,Services,Request for Quotation(RFQ),
40994,Excess Waste Soil Disposal,Services,Request for Quotation(RFQ),
40998,Stormwater Dry Pond Cleanout Services,Services,Request for Quotation(RFQ),
41002,Window Cleaning Services,Services,Request for Quotation(RFQ),
41013,Commodity Tax Review And Support Services,Services,Request for Proposal(RFP),
41018,Pre-Design & Feasibility Study - Fisher Auditorium & Event Centre,Services,Request for Proposal(RFP),
41023,Mckay Road Double Surface Treatment,Construction,Request for Quotation(RFQ),
41026,Allandale Recreation Centre Restoration,Construction,Request for Quotation(RFQ),
41031,Supply & Delivery Of Solar Powered Radar Speed Boards,Goods,Request for Quotation(RFQ),
41038,Traffic Count Program Services,Services,Request for Quotation(RFQ),
41040,Wastewater Treatment Facility (Wwtf) Ventilation Control Upgrade,Construction,Request for Quotation(RFQ),
41044,Sunnidale Letitia - Wellington Transmission Watermain,Services,Request for Quotation(RFQ),
41047,Pine Drive Retaining Walls,Construction,Request for Tender(RFT),
41052,Supply & Delivery Of Corporate Business Cards,Goods,Request for Quotation(RFQ),
41056,Printing & Preparation For Waste Reduction Calendars,Services,Request for Quotation(RFQ),
41063,Supply And Delivery Of Firefighter Helmets,Goods,Request for Quotation(RFQ),
41071,Project Management Services For Transportation Projects,Services,Request for Proposal(RFP),
41074,Tennis Court Reconstruction - Riverwood Park,Construction,Request for Tender(RFT),
41081,Move Services For Barrie Police Service,Services,Request for Pre-Qualification(RFPQ),
41086,Employee And Family Assistance Program (Efap) Provider,Services,Request for Proposal(RFP),
41089,Cipp Watermain Lining Program,Construction,Request for Tender(RFT),
41091,Cost Consulting Services,Services,Request for Proposal(RFP),
41097,"Supply, Delivery And Printing Services For Corporate Envelopes & Letterhead",Services,Request for Quotation(RFQ),
41107,2019 Tree Pruning Services,Services,Request for Quotation(RFQ),
41110,Consulting Services For A Tourism Master Plan,Services,Request for Proposal(RFP),
41111,2019 Frozen Water Services Repair Program,Construction,Request for Tender(RFT),
41113,East Bayfield Community Centre Domestic Water Boiler Replacement,Construction,Request for Quotation(RFQ),
41120,Group Benefits Provider,Services,Request for Proposal(RFP),
41126,"Construction Inspection Services For Watermain, Sewer And Road Improvement Projects",Services,Request for Proposal(RFP),
41129,Waterfront Flag Beautification Program,Services,Request for Proposal(RFP),
41130,Interim Watermain Replacement Contract 1 Of 2,Construction,Request for Tender(RFT),
41132,Passive Venting System And Wall Installation At City Of Barrie Historic Waste Site 6,Construction,Request for Quotation(RFQ),
41135,Public Wifi System For Barrie’S Waterfront And Downtown Bia,Services,Request for Proposal(RFP),
41137,Project Management Services For Water And Wastewater Projects,Services,Request for Proposal(RFP),
41142,Federal Gas Tax Asphalt Resurfacing Program,Construction,Request for Tender(RFT),
41147,Consulting Engineering Services For Lovers Creek Channel Rehabilitation - Adjacent To Brunton Park,Services,Request for Proposal(RFP),
41153,Fire Hydrant Painting Services,Services,Request for Quotation(RFQ),
41162,Contract Administration And Inspection Services For Dunlop Street West - Eccles St. To Toronto St.,Services,Request for Quotation(RFQ),
41169,Water Service And Backflow Prevention Upgrades For Parks And Open Spaces - 2019,Construction,Request for Tender(RFT),
41172,Accela Platform Technical Service Provider,Services,Request for Proposal(RFP),
41174,Pressure Reducing Valve Chamber Replacement,Construction,Request for Tender(RFT),
41176,Methane Detection And Alarming System For Buildings At The City Of Barrie Landfill,Construction,Request for Tender(RFT),
41178,Supply & Delivery Of One (1) New Four (4) Wheel Drive Rotary Riding Mowers With Eleven (11’) Foot Cut,Goods,Request for Quotation(RFQ),
41182,Parking Strategy Update,Services,Request for Proposal(RFP),
41184,Supply & Delivery Of One (1) New 2019 Or 2020 Roll-Off Hoist Mounted On A Tandem Axle Cab And Chassis,Goods,Request for Quotation(RFQ),
41186,"Supply, Delivery, And Installation Of Commercial Fitness Equipment",Goods,Request for Quotation(RFQ),
41190,Dunlop Street East Corridor Improvements - Toronto To Mulcaster,Construction,Request for Tender(RFT),
41192,Innisfil Street Culvert Replacement Over Hotchkiss Creek,Construction,Request for Tender(RFT),
41196,150-152 Dunlop Street West Demolition,Construction,Request for Tender(RFT),
41208,Vacuum Truck Services,Services,Request for Quotation(RFQ),
41211,Kidd'S Creek Restoration,Construction,Request for Tender(RFT),
41216,Playground Equipment Replacement,Services,Request for Quotation(RFQ),
41220,Project And Program Planning And Control Services For Wastewater Treatment Facility And Other Infrastructure Projects,Services,Request for Quotation(RFQ),
41221,"Supply, Delivery, Warranty And Installation Of Office Furniture",Services,Request for Proposal(RFP),
41226,Professional Services For Winter Control Route Optimization,Services,Request for Proposal(RFP),
41228,Qualified Supplier Roster For Functional & Technical Service Providers (Sap),Services,Request for Pre-Qualification(RFPQ),
41235,Supply And Delivery Of Waste Reduction Containers,Goods,Request for Quotation(RFQ),
41239,"Supply & Delivery Of Landfill Vehicles - Rubber Tire Loader, Excavator, Articulated Truck",Goods,Request for Quotation(RFQ),
41242,Consulting Services For The City Of Barrie Annual Groundwater Monitoring Program - Oro Biosolids Storage Facility,Services,Request for Proposal(RFP),
41249,Tyndale Park Site Works,Construction,Request for Quotation(RFQ),
41260,Provision Of Bathymetric Survey Services For Various Stormwater Management Ponds,Services,Request for Proposal(RFP),
41269,Hurst Drive Reconstruction And Resurfacing,Construction,Request for Tender(RFT),
41276,"Supply, Delivery, Removal, & Installation Of Transit Shelters",Services,Request for Quotation(RFQ),
41278,Engineering Consulting Services For Big Bay Point Road Painswick Bridge Rehabilitation,Services,Request for Quotation(RFQ),
41279,Sunnidale Park Dolra Pedestrian/Vehicular Bridges,Construction,Request for Tender(RFT),
41283,City Hall Third Floor Renovation,Construction,Request for Tender(RFT),
41288,Supply And Delivery Of Pre-Printed Paper For Handheld Ticket Writers,Goods,Request for Quotation(RFQ),
41289,Consulting Engineering Services For The Detailed Design Of A New Interchange On Highway 400 At Mckay Road,Construction,Request for Proposal(RFP),
41295,Supply And Delivery Of Thermal Imaging Cameras,Goods,Request for Quotation(RFQ),
41306,Supply And Delivery Of Waste And Recycle 40 Yard Containers,Goods,Request for Quotation(RFQ),
41310,Leachate Inspection And Cleaning Services,Services,Request for Quotation(RFQ),
41314,Tree Removal Services,Services,Request for Quotation(RFQ),
41319,Historical Research Consultant For Heritage Trail Signs,Services,Request for Quotation(RFQ),
41327,Grass Cutting Services,Services,Request for Quotation(RFQ),
41336,"Shingle Transportation, Processing And Recycling Services",Services,Request for Quotation(RFQ),
41338,"Drywall Transportation, Processing And Recycling Services",Services,Request for Quotation(RFQ),
41339,Parks Condition Assessment Study,Services,Request for Quotation(RFQ),
41342,Consulting Engineering Services For Waste Activated Sludge Thickening System Replacement Process - Polymer System,Services,Request for Proposal(RFP),
41344,Project Management Services For Parks And Public Realm Projects,Services,Request for Quotation(RFQ),
41347,City Of Barrie Waterfront Activities,Services,Request for Proposal(RFP),
41350,Sewer Video Inspection Services,Services,Request for Quotation(RFQ),
41361,Seasonal Ice Cream Concession Operation,Services,Request for Proposal(RFP),
41362,Centennial Beach Concession Stand,Services,Request for Proposal(RFP),
41363,Supply & Delivery Of Four (4) New Four (4) Wheel Drive Rotary Riding Mowers With Eleven (11’) Foot Cut,Goods,Request for Quotation(RFQ),
41368,"Water Tower Cleaning, Maintenance And Health & Safety Inspection Services",Services,Request for Quotation(RFQ),
41369,Lovers Creek Watershed Lv05 Stormwater Management Facility Rehabilitation,Services,Request for Proposal(RFP),
41375,Sub-Surface Utility Engineering (Sue),Services,Request for Quotation(RFQ),
41379,"Mattress Transportation, Processing And Recycling Services",Services,Request for Quotation(RFQ),
41381,2019 Street And Park Tree Planting And Reforestation Projects,Services,Request for Quotation(RFQ),
41384,Catch Basin Inspection And Cleaning Services,Services,Request for Quotation(RFQ),
41388,Sanitary Sewer Lining - 2019 Program,Construction,Request for Tender(RFT),
41394,Dasher Board System Replacement At The Barrie Molson Centre,Construction,Request for Tender(RFT),
41396,2019 Asphalt Resurfacing Contract,Construction,Request for Tender(RFT),
